worker_id	addend1	addend2	rt	adjusted_rt
AC5FF0SJI0RXM	5	3	1150	228.66666666666663
AC5FF0SJI0RXM	2	6	2079	1157.6666666666665
AC5FF0SJI0RXM	7	1	1264	342.66666666666663
AC5FF0SJI0RXM	8	0	1053	131.66666666666663
AC5FF0SJI0RXM	4	4	941	19.66666666666663
AC5FF0SJI0RXM	6	2	1595	673.6666666666666
AC5FF0SJI0RXM	0	8	946	24.66666666666663
AC5FF0SJI0RXM	3	5	974	52.66666666666663
AC5FF0SJI0RXM	1	7	955	33.66666666666663
AC5FF0SJI0RXM	16	4	1359	600.0
AC5FF0SJI0RXM	2	18	3745	2986.0
AC5FF0SJI0RXM	19	1	1956	1197.0
AC5FF0SJI0RXM	13	7	1270	511.0
AC5FF0SJI0RXM	11	9	1139	380.0
AC5FF0SJI0RXM	1	19	1353	594.0
AC5FF0SJI0RXM	7	13	1735	976.0
AC5FF0SJI0RXM	10	10	1277	518.0
AC5FF0SJI0RXM	0	20	931	172.0
AC5FF0SJI0RXM	18	2	2739	1980.0
AC5FF0SJI0RXM	6	14	1501	742.0
AC5FF0SJI0RXM	9	11	1489	730.0
AC5FF0SJI0RXM	4	16	1077	318.0
AC5FF0SJI0RXM	17	3	1244	485.0
AC5FF0SJI0RXM	20	0	1084	325.0
AC5FF0SJI0RXM	3	17	2548	1789.0
AC5FF0SJI0RXM	14	6	1184	425.0
AC5FF0SJI0RXM	5	15	1805	1046.0
AC5FF0SJI0RXM	12	8	2730	1971.0
AC5FF0SJI0RXM	15	5	1452	693.0
AC5FF0SJI0RXM	8	8	1050	198.66666666666663
AC5FF0SJI0RXM	4	12	1594	742.6666666666666
AC5FF0SJI0RXM	11	5	1107	255.66666666666663
AC5FF0SJI0RXM	16	0	2595	1743.6666666666665
AC5FF0SJI0RXM	10	6	1418	566.6666666666666
AC5FF0SJI0RXM	6	10	1275	423.66666666666663
AC5FF0SJI0RXM	3	13	1275	423.66666666666663
AC5FF0SJI0RXM	13	3	1321	469.66666666666663
AC5FF0SJI0RXM	7	9	2574	1722.6666666666665
AC5FF0SJI0RXM	14	2	1521	669.6666666666666
AC5FF0SJI0RXM	2	14	1278	426.66666666666663
AC5FF0SJI0RXM	12	4	1094	242.66666666666663
AC5FF0SJI0RXM	5	11	1095	243.66666666666663
AC5FF0SJI0RXM	9	7	2613	1761.6666666666665
AC5FF0SJI0RXM	1	15	1125	273.66666666666663
AC5FF0SJI0RXM	15	1	969	117.66666666666663
AC5FF0SJI0RXM	0	16	1060	208.66666666666663
AC5FF0SJI0RXM	10	0	921	341.0
AC5FF0SJI0RXM	9	1	906	326.0
AC5FF0SJI0RXM	7	3	1242	662.0
AC5FF0SJI0RXM	6	4	896	316.0
AC5FF0SJI0RXM	8	2	1363	783.0
AC5FF0SJI0RXM	4	6	908	328.0
AC5FF0SJI0RXM	5	5	879	299.0
AC5FF0SJI0RXM	0	10	795	215.0
AC5FF0SJI0RXM	1	9	945	365.0
AC5FF0SJI0RXM	3	7	812	232.0
AC5FF0SJI0RXM	2	8	2509	1929.0
AC5FF0SJI0RXM	1	17	1085	371.0
AC5FF0SJI0RXM	3	15	1170	456.0
AC5FF0SJI0RXM	15	3	1000	286.0
AC5FF0SJI0RXM	8	10	1922	1208.0
AC5FF0SJI0RXM	6	12	1484	770.0
AC5FF0SJI0RXM	13	5	1742	1028.0
